Generating SQLite file /gpfs/scratch/rsk8552/GPT2-Optimization/benchmarks/bigpurple_v100_2026-01-27/8gpu_2node_accum2_bucket200_nsys80/profiles/nsys_17776175_gn-0013.sqlite from /gpfs/scratch/rsk8552/GPT2-Optimization/benchmarks/bigpurple_v100_2026-01-27/8gpu_2node_accum2_bucket200_nsys80/profiles/nsys_17776175_gn-0013.nsys-rep
Processing [/gpfs/scratch/rsk8552/GPT2-Optimization/benchmarks/bigpurple_v100_2026-01-27/8gpu_2node_accum2_bucket200_nsys80/profiles/nsys_17776175_gn-0013.sqlite] with [/gpfs/share/apps/cuda/12.9/nsight-systems-2025.1.3/host-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances      Avg (ns)          Med (ns)         Min (ns)        Max (ns)      StdDev (ns)     Style                  Range                
 --------  ---------------  ---------  ----------------  ----------------  --------------  --------------  --------------  -------  ------------------------------------
     24.5  62,14,25,70,603        320    19,41,95,533.1    14,19,66,898.0     3,14,93,573  4,34,96,37,896  34,82,10,643.2  PushPop  :train/backward                     
     24.5  62,13,38,03,775        320    19,41,68,136.8    14,19,44,361.0     3,14,72,472  4,34,95,81,113  34,82,07,645.6  PushPop  :DeepSpeedEngine.backward           
     16.8  42,59,24,66,395        320    13,31,01,457.5     3,35,86,866.0          13,542  4,29,72,00,762  34,14,26,928.0  PushPop  :DeepSpeedEngine.allreduce_gradients
     10.7  27,13,02,09,280        320     8,47,81,904.0     1,46,49,540.0        6,74,442    67,79,74,718  10,80,89,596.8  PushPop  :train/optimizer_step               
      8.3  21,12,30,57,501        520     4,06,21,264.4          64,280.0          34,841  4,39,08,92,370  36,05,23,026.9  PushPop  NCCL:ncclAllReduce                  
      3.7   9,32,56,71,259        320     2,91,42,722.7     1,87,44,158.5     1,57,47,533    69,51,88,532   6,40,42,045.5  PushPop  :train/forward                      
      3.7   9,31,12,28,529        320     2,90,97,589.2     1,87,10,468.5     1,57,18,152    69,48,83,585   6,40,14,080.0  PushPop  :DeepSpeedEngine.forward            
      3.1   7,97,79,12,572        320     2,49,30,976.8        2,28,630.0        1,75,698  2,69,85,12,333  22,55,24,873.7  PushPop  :train/dataload                     
      1.8   4,51,57,36,416          4  1,12,89,34,104.0  1,14,86,02,597.0  1,05,33,87,914  1,16,51,43,308   5,14,81,568.7  PushPop  NCCL:ncclCommSplit                  
      1.0   2,66,32,04,325        788       33,79,700.9          29,169.0          26,629    66,96,86,367   4,69,03,494.9  PushPop  NCCL:ncclBroadcast                  
      1.0   2,53,20,27,789          8    31,65,03,473.6    32,45,43,081.5    19,18,82,953    44,92,63,297   9,71,27,614.4  PushPop  NCCL:ncclCommDestroy                
      0.8   1,90,98,85,520          4    47,74,71,380.0    53,35,30,645.0    28,25,18,811    56,03,05,419  13,18,42,100.6  PushPop  NCCL:ncclCommInitRankConfig         
      0.1     32,31,36,609        320       10,09,801.9        6,30,417.5        4,51,204     3,63,32,958     26,42,689.2  PushPop  :train/loss                         
      0.1     24,35,30,626          8     3,04,41,328.3       69,88,538.0       13,27,030    14,77,48,712   5,09,41,090.4  PushPop  NCCL:ncclCommFinalize               
      0.0        93,91,505        152          61,786.2          57,372.0          43,220        1,42,339        16,552.6  PushPop  NCCL:ncclAllGather                  

Processing [/gpfs/scratch/rsk8552/GPT2-Optimization/benchmarks/bigpurple_v100_2026-01-27/8gpu_2node_accum2_bucket200_nsys80/profiles/nsys_17776175_gn-0013.sqlite] with [/gpfs/share/apps/cuda/12.9/nsight-systems-2025.1.3/host-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)   Total Time (ns)    Num Calls      Avg (ns)           Med (ns)         Min (ns)        Max (ns)          StdDev (ns)              Name         
      0.2     15,51,49,775      3,840        40,403.6        40,320.0       39,328          45,088           594.1  void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::n…
      0.2     14,68,88,887         16     91,80,555.4   1,06,11,828.0    17,89,654     1,11,06,369     27,12,738.2  ncclDevKernel_AllReduce_Sum_f64_TREE_LL(ncclDevKernelArgsStorage<(unsigned long)4096>)              
      0.2     14,01,13,274        320      4,37,854.0      4,37,597.5     4,32,671        4,45,535         2,094.8  void at::native::<unnamed>::cunn_SoftMaxForward<(int)8, c10::Half, float, c10::Half, at::native::<u…
      0.2     13,30,12,955      3,840        34,638.8        34,495.0       32,704          39,328           870.4  volta_fp16_s884gemm_fp16_64x128_ldg8_f2f_tn                                                         
      0.2     12,20,32,923      3,840        31,779.4        31,488.0       29,887          39,392         1,141.2  volta_fp16_s884gemm_fp16_64x128_ldg8_f2f_nn                                                         
      0.2     11,51,92,993        152      7,57,848.6      7,55,565.5     7,46,078        7,75,611         7,469.5  void multi_tensor_apply_kernel<TensorListMetadata<(int)4>, AdamFunctor<float, int>, float, float, f…
      0.2     11,24,80,079      3,840        29,291.7        29,152.0       27,520          32,672           764.1  volta_fp16_s884gemm_fp16_64x64_ldg8_f2f_tn                                                          
      0.1     10,73,89,850      3,840        27,966.1        27,936.0       25,472          32,224           606.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluBackwardCUDAKernelImpl(at::T…
      0.1      9,46,74,029      8,308        11,395.5         3,520.0        1,824        1,68,799        29,183.8  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1      6,67,39,916      3,840        17,380.2        17,344.0       15,711          19,808           517.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::GeluCUDAKernelImpl(at::TensorIte…
      0.1      6,64,18,711      1,280        51,889.6        45,824.0        1,600        1,20,416        50,652.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<c10::Half>, std::arr…
      0.1      6,55,15,959      8,000         8,189.5         8,784.0        6,336          11,392         1,341.4  void at::native::<unnamed>::layer_norm_grad_input_kernel_vectorized<c10::Half, float, (bool)0>(cons…
      0.1      6,05,18,550      8,000         7,564.8         7,552.0        7,136          10,368           354.2  void at::native::<unnamed>::vectorized_layer_norm_kernel<c10::Half, float, (bool)0>(int, T2, const …
      0.1      5,70,42,631      8,000         7,130.3         6,848.0        6,144          12,896           703.9  void at::native::<unnamed>::GammaBetaBackwardCUDAKernelTemplate<c10::Half, float, (unsigned int)32,…
      0.1      5,19,44,338      3,800        13,669.6         3,936.0        3,552        2,74,206        36,277.8  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.1      4,40,28,571      3,800        11,586.5         3,232.0        2,848        1,97,119        26,813.7  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<double, at::native::NormTwoOp…
      0.0      3,35,18,902      4,304         7,787.8         1,568.0        1,216        1,99,711        25,761.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AbsFunctor<float>, std::array<ch…
      0.0      3,20,39,263      4,000         8,009.8         2,912.0        2,720        1,06,368        14,464.4  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::func_wrapp…
      0.0      3,05,71,672        152      2,01,129.4      2,01,087.5     2,00,768        2,02,240           184.0  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0      2,59,96,377        640        40,619.3        47,727.5       30,720          55,232         9,611.9  void at::native::<unnamed>::embedding_backward_feature_kernel<c10::Half, float, long>(const T3 *, c…
      0.0      2,49,49,078      4,152         6,008.9         1,696.0        1,376        1,29,919        16,987.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<float, float, bool…
      0.0      2,46,15,015      4,152         5,928.5         1,664.0        1,376        1,29,856        16,986.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, bool…
      0.0      2,24,36,410        152      1,47,608.0      1,46,751.0     1,46,207        1,57,727         2,464.0  void at::native::vectorized_elementwise_kernel<(int)4, at::native::float16_copy_kernel_cuda(at::Ten…
      0.0      1,65,45,496      4,152         3,984.9         1,760.0        1,344          75,711         9,615.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<bool, bool, bool, …
      0.0        62,28,402      4,000         1,557.1         1,440.0        1,376           3,424           296.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::arr…
      0.0        56,01,744        320        17,505.5        17,471.5       16,480          19,328           461.9  void at::native::<unnamed>::nll_loss_forward_reduce_cuda_kernel_2d<c10::Half, float, long>(T1 *, T1…
      0.0        32,89,139        320        10,278.6        10,208.0        9,568          12,735           414.2  void at::native::<unnamed>::nll_loss_backward_reduce_cuda_kernel_2d<c10::Half, long>(T1 *, const T1…
      0.0        31,41,495        640         4,908.6         4,896.0        3,680           6,336           473.8  void at::native::vectorized_gather_kernel<(int)16, long>(char *, char *, T2 *, int, long, long, lon…
      0.0        25,96,279        320         8,113.4         8,096.0        5,376           8,928           336.7  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0        21,08,183        960         2,196.0         2,144.0        1,376           3,392           613.8  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<c10::Half, c10::Ha…
      0.0        17,75,672        640         2,774.5         3,104.0        1,919           3,872           514.1  void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::n…
      0.0        17,23,646        320         5,386.4         5,376.0        4,480           6,176           169.7  void at::native::triu_tril_kernel<bool, int, (bool)0, (int)8, (bool)0>(at::cuda::detail::TensorInfo…
      0.0        15,20,476        204         7,453.3         2,272.0        1,152          93,184        21,307.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<float>, std::array<c…
      0.0         8,98,336        456         1,970.0         1,920.0        1,344           2,720           459.3  void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<float, float, floa…
      0.0         8,08,124        152         5,316.6         5,360.0        3,584           5,664           312.3  void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<double, at::native::func_wrap…
      0.0         6,86,496        320         2,145.3         2,144.0        2,080           2,496            47.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnOther_add<c10::Half…
      0.0         6,18,782        320         1,933.7         1,920.0        1,887           2,176            52.4  void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<bool>, std::array<ch…
      0.0         6,00,221        304         1,974.4         1,808.0        1,344           2,816           570.2  void at::native::vectorized_elementwise_kernel<(int)4, at::native::AUnaryFunctor<float, float, floa…
      0.0         5,80,542        152         3,819.4         3,840.0        2,272           4,224           262.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::reciprocal_kernel_cuda(at::Tenso…
      0.0         5,72,157        152         3,764.2         3,808.0        2,336           3,968           239.5  void at::native::vectorized_elementwise_kernel<(int)4, at::native::sqrt_kernel_cuda(at::TensorItera…
      0.0         5,28,061        160         3,300.4         3,312.0        2,176           3,616           200.3  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0         5,25,663        320         1,642.7         1,664.0        1,248           2,080           117.9  void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &,…
      0.0         5,21,759        160         3,261.0         3,264.0        2,112           3,520           190.9  void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIterator…
      0.0         4,90,336        152         3,225.9         3,232.0        2,048           3,488           203.7  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::launch_clamp_scalar(a…
      0.0         4,85,534        152         3,194.3         3,200.0        1,984           3,520           208.6  void at::native::vectorized_elementwise_kernel<(int)4, at::native::<unnamed>::masked_fill_kernel(at…
      0.0         4,03,488        152         2,654.5         2,688.0        1,760           3,040           192.5  void at::native::vectorized_elementwise_kernel<(int)2, void at::native::<unnamed>::pow_tensor_scala…
      0.0         4,00,573        152         2,635.3         2,624.0        1,888           2,944           145.9  void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, st…
      0.0         2,94,624        114         2,584.4         2,560.0        2,272           2,976           139.9  void at::native::<unnamed>::CatArrayBatchedCopy_alignedK_contig<at::native::<unnamed>::OpaqueType<(…

